,weightid,signature,structure,concepts,language,user_id,vote_id,word_count
count,426.0,426.0,426.0,426.0,426.0,426.0,426.0,426.0
mean,411.03521126760563,2.4072769953051645,2.3321596244131455,2.221830985915493,2.0586854460093895,22.624413145539908,213.5,31.5962441314554
std,216.040717686333,1.6698625806895566,1.647278977869469,1.6951744465712675,1.58710455109835,13.771573971583333,123.11986029881614,21.848922654318155
min,2.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0
25%,230.75,1.0,1.0,1.0,1.0,9.0,107.25,13.0
50%,400.0,2.0,1.5,1.0,1.0,17.0,213.5,26.0
75%,565.75,4.0,4.0,3.375,3.0,37.0,319.75,43.0
max,788.0,5.0,5.0,5.0,5.0,41.0,426.0,79.0
