,Rank,IR_Reco_count,Tags_Reco_count,IR-Tags-Count,Tags-IR-Count,IR-Coverage,Tags-Coverage
count,4357.0,4357.0,4357.0,4357.0,4357.0,4357.0,4357.0
mean,2.012623364700482,7.505852650906587,7.862061051182006,3.640578379619004,3.9967867798944225,0.5908770429690684,0.7935987687166149
std,0.8151326058048788,5.851057307492824,6.287095582689756,4.158839638666979,4.920906912625653,0.3375748187672591,0.22647963934610346
min,1.0,0.0,1.0,0.0,0.0,0.0,0.0
25%,1.0,3.0,3.0,0.0,0.0,0.3333333333333333,0.6428571428571429
50%,2.0,5.0,6.0,2.0,2.0,0.6,0.8333333333333334
75%,3.0,11.0,12.0,5.0,6.0,1.0,1.0
max,3.0,36.0,36.0,32.0,35.0,1.0,1.0
