,weightid,signature,structure,concepts,language,user_id,vote_id,word_count
count,788.0,788.0,788.0,788.0,788.0,788.0,426.0,788.0
mean,394.5,2.174492385786802,2.265228426395939,2.0856598984771573,2.1916243654822334,22.130710659898476,213.5,33.0
std,227.6202978646676,1.7133370609173721,1.6918097266119396,1.7082161708844539,1.7254595251189209,14.278654366695262,123.11986029881614,22.407908387949657
min,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
25%,197.75,1.0,1.0,1.0,1.0,7.0,107.25,15.0
50%,394.5,1.5,2.0,1.0,1.0,17.0,213.5,27.0
75%,591.25,3.5,4.0,3.0,4.0,38.0,319.75,47.0
max,788.0,5.0,5.0,5.0,5.0,41.0,426.0,79.0
